,Name,Status,District,Population_1991,Population_2001,Population_2011
366,Komaralingam,Panchayat,Tiruppur,...,"11,769","13,642"
367,Kombai,Panchayat,Theni,...,"12,842","15,960"
368,Konavattam,Census Town,Vellore,"6,975","9,359","11,472"
369,Kondalampatti,Census Town,Salem,"11,230","16,808","20,318"
370,Kondappanaickenpatti,Census Town,Salem,...,"6,892","6,892"
371,Kondasamudram,Census Town,Vellore,...,...,"21,335"
372,Kondichettipatti,Census Town,Namakkal,...,"5,584","10,300"
373,Kondur,Census Town,Cuddalore,...,...,"12,506"
374,Konerikuppam,Census Town,Kanchipuram,...,...,"11,406"
375,Konganapuram,Panchayat,Salem,...,"8,084","9,286"
376,Kooraikundu,Census Town,Virudhunagar,"11,238","19,669","22,361"
377,Koothappar,Panchayat,Tiruchirappalli,...,"17,056","15,943"
378,Koradacheri,Panchayat,Thiruvarur,...,"5,976","6,450"
379,Kosavampatti,Census Town,Namakkal,...,...,"10,356"
380,Kotagiri,Panchayat,The Nilgiris,"29,557","29,192","28,207"
381,Kothanallur (Kothinallur),Panchayat,Kanniyakumari,...,"15,880","17,662"
382,Kottagoundampatty,Census Town,Salem,...,...,"7,891"
383,Kottaiyur,Panchayat,Sivaganga,"8,318","10,633","14,766"
384,Kottakuppam,Panchayat,Viluppuram,...,"24,075","31,726"
385,Kottaram,Panchayat,Kanniyakumari,...,"9,919","11,055"
386,Kottivakkam,Census Town,Kanchipuram,"11,856","13,884","20,217"
387,Kottur,Panchayat,Coimbatore,...,"25,261","26,627"
388,Kovalam (Covelong),Census Town,Kanchipuram,...,...,"8,124"
389,Kovilpatti,Municipality,Thoothukkudi,"78,834","87,450","95,057"
390,Kovur,Census Town,Kanchipuram,...,"5,948","10,961"
391,Krishnagiri,Municipality,Krishnagiri,"60,315","64,587","71,323"
392,Krishnarayapuram,Panchayat,Karur,...,"10,533","10,792"
393,Krishnasamudram,Census Town,Tiruchirappalli,...,"9,215","13,146"
394,Kuchanur,Panchayat,Theni,...,"6,055","7,024"
395,Kuhalur,Panchayat,Erode,...,"11,684","11,753"
396,Kulappuram,Census Town,Kanniyakumari,...,...,"7,677"
397,Kulasekaram (Kulasekarapuram),Panchayat,Kanniyakumari,...,"16,351","17,267"
398,Kulathur (Kulathoor),Census Town,Tiruchirappalli,...,"9,300","11,083"
399,Kulithalai,Municipality,Karur,"23,996","26,161","27,910"
400,Kullursandai,Census Town,Virudhunagar,...,"4,653","5,383"
401,Kumaragiri,Census Town,Thoothukkudi,...,"10,997","13,344"
402,Kumarapalayam (Komarapalayam),Municipality,Namakkal,"57,672","65,868","71,594"
403,Kumarapuram,Panchayat,Kanniyakumari,...,"13,938","14,728"
404,Kumbakonam,Municipality,Thanjavur,"139,483","139,954","140,156"
405,Kundrathur,Panchayat,Kanchipuram,...,"25,007","54,986"
406,Kuniyamuthur,Municipality,Coimbatore,"37,803","58,900","95,924"
407,Kunnathur,Panchayat,Tiruppur,...,"7,032","8,774"
408,Kurichi,Municipality,Coimbatore,"64,796","77,853","123,667"
409,Kurinjipadi,Panchayat,Cuddalore,"23,117","22,883","27,471"
410,Kurudampalayam,Census Town,Coimbatore,...,"13,534","18,749"
411,Kurukkupatti,Census Town,Salem,...,...,"5,037"
412,Kurumbalur,Panchayat,Perambalur,...,"11,126","12,420"
413,Kurumbapatti,Census Town,Dindigul,...,"4,416","6,182"
414,Kuruppanaickenpalayam,Census Town,Erode,...,...,"7,484"
415,Kuthalam,Panchayat,Nagapattinam,...,"13,444","16,125"
416,Kuthanallur,Municipality,Thiruvarur,"21,870","22,995","25,423"
417,Kuthankuzhi,Census Town,Tirunelveli,...,...,"5,118"
418,Kuzhithurai,Municipality,Kanniyakumari,"19,226","20,503","21,307"
419,Labbaikudikadu,Panchayat,Perambalur,...,"8,741","11,891"
420,Lakkampatti,Panchayat,Erode,...,"11,038","11,716"
421,Lakkiampatti,Census Town,Dharmapuri,...,...,"39,697"
422,Lakshminarayanapuram,Census Town,Cuddalore,...,"12,648","12,648"
423,Lalgudi,Panchayat,Tiruchirappalli,"21,595","23,405","23,740"
424,Lalpet,Panchayat,Cuddalore,...,"13,817","16,561"
425,Madaharpakkam,Census Town,Thiruvallur,...,...,"4,250"
426,Madambakkam,Panchayat,Kanchipuram,...,"16,996","31,681"
427,Madambakkam (in: Sriperumbudur subdistrict),Census Town,Kanchipuram,...,...,"11,673"
428,Madathukulam,Panchayat,Tiruppur,...,"20,352","20,620"
429,Madavaram (Madhavaram),Municipality,Thiruvallur,"49,256","76,093","119,105"
430,Madippakkam (Madipakkam),Census Town,Kanchipuram,"11,437","15,548","35,752"
431,Madukkarai,Panchayat,Coimbatore,"18,110","26,441","30,357"
432,Madukkur,Panchayat,Thanjavur,...,"15,426","16,266"
433,Madurai,Municipality,Madurai,"940,989","928,869","1,017,865"
434,Maduranthakam,Municipality,Kanchipuram,"26,947","29,059","30,796"
435,Maduravoyal,Municipality,Thiruvallur,"14,881","43,609","86,195"
436,Majaragollappatti,Census Town,Salem,...,"4,156","4,727"
437,Makkinampatti,Census Town,Coimbatore,...,"6,372","8,134"
438,Malayadi,Census Town,Kanniyakumari,...,...,"7,812"
439,Mallamooppampatti,Census Town,Salem,"6,582","6,783","10,199"
440,Mallankinaru,Panchayat,Virudhunagar,...,"11,823","12,986"
441,Mallasamudram,Panchayat,Namakkal,"13,062","17,181","18,007"
442,Mallur,Panchayat,Salem,"7,939","9,503","10,331"
443,Malumichampatti,Census Town,Coimbatore,...,"7,176","12,936"
444,Mamallapuram (Mahabalipuram),Panchayat,Kanchipuram,...,"12,345","15,172"
445,Mamsapuram,Panchayat,Virudhunagar,...,"17,927","18,635"
446,Manachanallur,Panchayat,Tiruchirappalli,"18,611","21,511","25,931"
447,Manakudi,Census Town,Kanniyakumari,...,...,"4,083"
448,Manali,Municipality,Thiruvallur,"19,093","28,597","35,248"
449,Manalmedu,Panchayat,Nagapattinam,...,"9,275","9,017"
450,Manalurpet,Panchayat,Viluppuram,...,"7,401","8,523"
451,Manamadurai,Panchayat,Sivaganga,"22,879","26,253","32,257"
452,Manapakkam,Census Town,Kanchipuram,...,"8,605","13,344"
453,Manapparai,Municipality,Tiruchirappalli,"31,837","35,770","40,510"
454,Manavalakurichi,Panchayat,Kanniyakumari,...,"10,412","10,969"
455,Mancad,Census Town,Kanniyakumari,...,...,"4,889"
456,Mandaikadu,Panchayat,Kanniyakumari,...,"12,375","13,317"
457,Mandapam,Panchayat,Ramanathapuram,"19,935","16,343","18,427"
458,Mangadu,Panchayat,Kanchipuram,...,"19,420","38,188"
459,Mangalam,Census Town,Tiruppur,...,"10,016","17,699"
460,Mangalampet,Panchayat,Cuddalore,...,"7,281","9,278"
461,Manickapuram,Census Town,Tiruppur,...,...,"6,215"
462,Manimutharu,Panchayat,Tirunelveli,...,"12,613","11,323"
463,Manjakollai,Census Town,Nagapattinam,...,...,"5,040"
464,Manjalumoodu,Census Town,Kanniyakumari,...,...,"6,840"
465,Mannarai,Census Town,Tiruppur,...,...,"17,261"
466,Mannargudi,Municipality,Thiruvarur,"56,552","61,478","66,999"
467,Manthithoppu,Census Town,Thoothukkudi,...,"4,113","6,143"
468,Mappilaiurani,Census Town,Thoothukkudi,"13,327","27,361","40,035"
469,Maraimalainagar,Municipality,Kanchipuram,...,"48,463","81,872"
470,Marakkanam,Panchayat,Viluppuram,...,"19,139","22,034"
471,Maramangalathupatti,Census Town,Salem,"8,311","11,385","12,448"
472,Marandahalli,Panchayat,Dharmapuri,...,"10,177","12,451"
473,Markayankottai,Panchayat,Theni,...,"5,829","6,135"
474,Marudur,Panchayat,Karur,...,"10,214","10,925"
475,Marungur (Marungoor),Panchayat,Kanniyakumari,...,"10,103","11,236"
476,Maruthancode,Census Town,Kanniyakumari,...,...,"8,277"
477,Masinaickenpatty,Census Town,Salem,...,...,"9,098"
478,Mathicode,Census Town,Kanniyakumari,...,...,"6,532"
479,Mathigiri,Panchayat,Krishnagiri,...,"15,257","23,129"
480,Mathur,Census Town,Thiruvallur,...,...,"27,674"
481,Mayiladuthurai,Municipality,Nagapattinam,"76,837","84,505","85,632"
482,Mecheri,Panchayat,Salem,...,"20,455","25,676"
483,Medavakkam,Census Town,Kanchipuram,...,...,"29,710"
484,Meenambakkam,Panchayat,Kanchipuram,...,"3,609","24,334"
485,Melacheval,Panchayat,Tirunelveli,...,"7,780","8,435"
486,Melachokkanathapuram,Panchayat,Theni,...,"11,669","15,625"
487,Melagaram,Panchayat,Tirunelveli,...,"12,897","14,535"
488,Melamadai,Census Town,Madurai,"14,086","29,098","43,797"
489,Melaparthibanur,Census Town,Ramanathapuram,...,"7,752","8,232"
490,Melathiruppanthuruthi,Panchayat,Thanjavur,...,"8,412","9,074"
491,Melattur,Panchayat,Thanjavur,...,"8,103","8,131"
492,Melpattampakkam,Panchayat,Cuddalore,...,"6,598","6,887"
493,Melur,Municipality,Madurai,"32,878","33,881","40,017"
494,Melvisharam,Municipality,Vellore,"26,613","36,757","44,786"
495,Methukummal,Census Town,Kanniyakumari,...,...,"19,417"
496,Mettamalai,Census Town,Virudhunagar,...,"4,367","5,175"
497,Mettunasuvanpalayam,Census Town,Erode,...,"14,278","17,240"
498,Mettupalayam,Municipality,Coimbatore,"63,479","66,595","69,213"
499,Mettupalayam,Panchayat,Tiruchirappalli,...,"7,550","7,681"
500,Mettur,Municipality,Salem,"45,773","53,633","52,813"
501,Mevalurkuppam,Census Town,Kanchipuram,...,...,"3,805"
502,Midalam,Census Town,Kanniyakumari,...,...,"8,625"
503,Milavittan,Census Town,Thoothukkudi,...,"30,758","45,863"
504,Minampalli-Pachamadevi,Census Town,Karur,...,...,"9,031"
505,Minjur,Panchayat,Thiruvallur,...,"23,742","28,337"
506,Modakurichi,Panchayat,Erode,...,"10,052","9,907"
507,Mohanur,Panchayat,Namakkal,...,"12,468","14,315"
508,Molachur,Census Town,Kanchipuram,...,"6,149","8,887"
509,Mookondapalli,Census Town,Krishnagiri,...,...,"39,245"
510,Moolakaraipatti,Panchayat,Tirunelveli,...,"9,742","11,112"
511,Moovarasampettai,Census Town,Kanchipuram,...,"6,162","9,672"
512,Mopperipalayam,Panchayat,Coimbatore,...,"8,732","10,923"
513,Morattupalayam,Census Town,Tiruppur,...,...,"5,798"
514,Mudukulathur,Panchayat,Ramanathapuram,...,"13,126","14,789"
515,Mugalivakkam,Census Town,Kanchipuram,...,...,"25,117"
516,Mukasipidariyur,Census Town,Erode,"9,006","11,012","14,143"
517,Mukkudal,Panchayat,Tirunelveli,...,"13,955","14,983"
518,Mulagumudu,Panchayat,Kanniyakumari,...,"18,057","19,538"
519,Mulanur,Panchayat,Tiruppur,...,"13,827","15,223"
520,Mullipattu,Census Town,Tiruvannamalai,...,"4,401","4,956"
521,Muruganpalayam,Census Town,Tiruppur,...,"14,440","26,349"
522,Musiri,Panchayat,Tiruchirappalli,"22,103","27,941","28,727"
523,Muthanampalayam,Census Town,Tiruppur,...,...,"26,014"
524,Muthugoundam Pudur,Census Town,Coimbatore,...,...,"10,259"
525,Muthukadu,Census Town,Kanchipuram,...,...,"7,610"
526,Muthupet,Panchayat,Thiruvarur,...,"17,383","21,722"
527,Muthur,Panchayat,Tiruppur,...,"11,880","13,212"
528,Muttayyapuram,Census Town,Thoothukkudi,"26,005","31,813","32,494"
529,Muzhucode,Census Town,Kanniyakumari,...,...,"8,000"
530,Mylaudy (Myladi),Panchayat,Kanniyakumari,...,"9,001","10,070"
531,Nadaikavu,Census Town,Kanniyakumari,...,...,"8,727"
532,Nadukuthagai,Census Town,Thiruvallur,...,"6,283","9,251"
533,Naduvaneri,Census Town,Salem,...,"7,463","8,485"
534,Naduvattam,Panchayat,The Nilgiris,"11,578","11,370","8,505"
535,Nagamalaipudukottai,Census Town,Madurai,...,...,"15,769"
536,Nagamangalam,Census Town,Tiruchirappalli,...,"4,322","5,785"
537,Nagapattinam,Municipality,Nagapattinam,"86,489","93,148","102,905"
538,Nagavakulam,Census Town,Madurai,...,"17,803","23,284"
539,Nagercoil,Municipality,Kanniyakumari,"190,084","208,179","224,849"
540,Nagojanahalli,Panchayat,Krishnagiri,...,"8,409","9,953"
541,Nallampatti,Panchayat,Erode,...,"3,656","3,874"
542,Nallipalayam,Census Town,Namakkal,...,...,"5,078"
543,Nalloor (Nallur),Panchayat,Kanniyakumari,...,"15,563","17,989"
544,Nallur,Census Town,Tirunelveli,...,...,"7,828"
545,Nallur $,Census Town,Thiruvallur,...,...,"19,595"
546,Namagiripettai,Panchayat,Namakkal,...,"21,446","21,250"
547,Namakkal,Municipality,Namakkal,"45,038","53,055","55,145"
548,Nambiyur,Panchayat,Erode,...,"15,854","16,379"
549,Nandambakkam,Panchayat,Kanchipuram,"10,563","9,343","11,239"
550,Nandivaram - Guduvancheri,Panchayat,Kanchipuram,"19,347","26,575","44,098"
551,Nangavalli,Panchayat,Salem,...,"9,676","10,809"
552,Nangavaram,Panchayat,Karur,...,"16,408","17,629"
553,Nanguneri,Panchayat,Tirunelveli,...,"6,758","6,640"
554,Nanjikottai,Census Town,Thanjavur,...,"21,935","32,689"
555,Nannilam,Panchayat,Thiruvarur,...,"11,056","12,618"
556,Naranammalpuram,Panchayat,Tirunelveli,"14,884","16,318","17,094"
557,Naranapuram,Census Town,Virudhunagar,...,"9,331","11,665"
558,Narasimhanaicken-palayam,Panchayat,Coimbatore,...,"11,271","17,858"
559,Narasingam,Census Town,Madurai,...,...,"5,971"
560,Narasingapuram,Census Town,Vellore,...,"10,563","11,454"
561,Narasingapuram,Municipality,Salem,...,"18,690","23,084"
562,Naravarikuppam,Panchayat,Thiruvallur,"17,409","18,331","20,946"
563,Nasiyanur,Panchayat,Erode,...,"9,905","10,970"
564,Natchiarkoil,Census Town,Thanjavur,...,"7,128","7,505"
565,Natham,Panchayat,Dindigul,...,"22,545","23,660"
566,Nathampannai,Census Town,Pudukkottai,...,"6,426","8,915"
567,Natrampalli,Panchayat,Vellore,...,"9,134","10,390"
568,Nattalam,Census Town,Kanniyakumari,...,...,"7,674"
569,Nattapettai,Census Town,Kanchipuram,"9,923","10,111","19,883"
570,Nattarasankottai,Panchayat,Sivaganga,"5,693","6,586","5,860"
571,Navalpattu,Census Town,Tiruchirappalli,"13,826","15,394","16,788"
572,Navlock Garden,Census Town,Vellore,...,...,"20,171"
573,Nazarathpettai,Census Town,Thiruvallur,...,"5,157","8,660"
574,Nazerath,Panchayat,Thoothukkudi,...,"16,960","16,584"
575,Nedungundram,Census Town,Kanchipuram,...,...,"14,390"
576,Needamangalam,Panchayat,Thiruvarur,...,"8,730","9,336"
577,Neelagiri,Census Town,Thanjavur,...,"11,044","16,197"
578,Neelambur,Census Town,Coimbatore,...,...,"8,382"
579,Neelankarai,Census Town,Kanchipuram,...,"15,637","28,458"
580,Neikkarapatti,Panchayat,Dindigul,...,"12,099","11,753"
581,Nellikuppam,Municipality,Cuddalore,"42,783","44,222","46,678"
582,Nelliyalam,Municipality,The Nilgiris,"37,787","41,837","44,590"
583,Nemili,Panchayat,Vellore,...,"9,217","10,806"
584,Nemilicheri,Census Town,Thiruvallur,...,"4,831","5,743"
585,Neripperichal,Census Town,Tiruppur,...,"16,372","53,579"
586,Nerkunram (Nerkundram),Census Town,Thiruvallur,"21,338","39,826","59,790"
587,Nerkuppai,Panchayat,Sivaganga,...,"5,689","7,165"
588,Nerunjipettai,Panchayat,Erode,...,"6,925","6,791"
589,Neykkarappatti,Census Town,Salem,"7,645","9,869","12,090"
590,Neyveli,Panchayat,Cuddalore,"118,080","127,552","105,731"
591,Neyyoor,Panchayat,Kanniyakumari,...,"12,288","12,917"
592,Nilaiyur I Bit,Census Town,Madurai,...,...,"14,684"
593,Nilakkottai,Panchayat,Dindigul,"14,770","19,615","22,197"
594,Nolambur,Census Town,Thiruvallur,...,...,"21,973"
595,Nullivilai,Census Town,Kanniyakumari,...,...,"16,138"
596,Odaipatti,Panchayat,Theni,...,"13,183","13,892"
597,Odaiyakulam,Panchayat,Coimbatore,...,"11,999","13,370"
598,Oddanchatram,Panchayat,Dindigul,...,"24,132","30,064"
599,Odugathur,Panchayat,Vellore,...,"8,148","8,998"
600,Oggiyamduraipakkam,Census Town,Kanchipuram,...,"25,952","76,600"
601,Olagadam,Panchayat,Erode,...,"9,370","9,958"
602,Omalur,Panchayat,Salem,"11,884","13,291","16,279"
603,Orathanadu (Mukthambalpuram),Panchayat,Thanjavur,...,"10,172","10,247"
604,Orikkai,Census Town,Kanchipuram,...,...,"12,638"
605,Othakadai,Census Town,Madurai,"8,912","12,185","15,152"
606,Othakalmandapam,Panchayat,Coimbatore,...,"10,320","12,207"
607,Ottapparai,Census Town,Erode,"6,423","9,208","9,493"
608,O' Valley,Panchayat,The Nilgiris,"22,713","24,793","21,943"
609,Overi,Census Town,Tirunelveli,...,...,"5,694"
610,Pachchal,Census Town,Vellore,...,"15,288","16,789"
611,Pacode,Panchayat,Kanniyakumari,...,"22,781","24,050"
612,Padaiveedu,Panchayat,Namakkal,...,"10,066","10,451"
613,Padandal,Census Town,Virudhunagar,...,...,"8,429"
614,Padappai,Census Town,Kanchipuram,...,"8,285","14,063"
615,Padianallur,Census Town,Thiruvallur,"18,004","20,938","23,819"
616,Padikkasu vaithanpatti,Census Town,Virudhunagar,...,"6,805","9,538"
617,Padirikuppam,Census Town,Cuddalore,...,"16,075","18,745"
618,Padmanabhapuram,Municipality,Kanniyakumari,"19,269","20,075","21,342"
619,Painkulam,Census Town,Kanniyakumari,...,"21,337","23,630"
620,Paiyur,Census Town,Tiruvannamalai,...,"5,818","7,555"
621,Palaganangudy,Census Town,Tiruchirappalli,...,"9,210","13,469"
622,Palakkodu,Panchayat,Dharmapuri,"15,853","18,667","20,959"
623,Palamedu,Panchayat,Madurai,...,"8,183","10,493"
624,Palangarai,Census Town,Tiruppur,...,"9,821","17,248"
625,Palani,Municipality,Dindigul,"68,907","67,231","70,467"
626,Palani Chettipatti,Panchayat,Theni,...,"11,750","14,879"
627,Palappallam,Panchayat,Kanniyakumari,...,"16,652","18,589"
628,Palavakkam,Census Town,Kanchipuram,...,"14,361","26,766"
629,Palavansathu,Census Town,Vellore,"7,883","16,962","22,176"
630,Palayam,Panchayat,Dindigul,...,"13,300","15,336"
631,Palayampatti,Census Town,Virudhunagar,...,"14,017","18,576"
632,Palladam,Municipality,Tiruppur,"22,406","30,016","42,225"
633,Pallanthurai,Census Town,Kanniyakumari,...,...,"5,386"
634,Pallapalayam,Panchayat,Erode,...,"6,505","7,263"
635,Pallapalayam,Panchayat,Coimbatore,...,"9,898","11,910"
636,Pallapatti,Panchayat,Karur,...,"19,039","30,624"
637,Pallapatti,Census Town,Virudhunagar,"18,991","24,326","27,925"
638,Pallathur,Panchayat,Sivaganga,...,"7,982","9,580"
639,Pallavaram,Municipality,Kanchipuram,"111,866","144,623","233,984"
640,Pallikaranai,Panchayat,Kanchipuram,"7,822","22,070","43,493"
641,Pallikonda,Panchayat,Vellore,"18,672","20,771","23,067"
642,Pallipalayam,Municipality,Namakkal,"36,657","35,635","40,140"
643,Pallipalayam Agraharam,Census Town,Namakkal,...,"9,997","16,479"
644,Pallipattu,Panchayat,Thiruvallur,...,"8,654","8,721"
645,Pallippadai,Census Town,Cuddalore,...,"4,499","6,369"
646,Paloor,Census Town,Kanniyakumari,...,...,"6,818"
647,Palugal,Panchayat,Kanniyakumari,...,"17,686","18,276"
648,Pammal,Municipality,Kanchipuram,"36,506","49,999","75,870"
649,Panagudi,Panchayat,Tirunelveli,...,"25,501","29,895"
650,Panaimarathupatti,Panchayat,Salem,...,"8,125","9,368"
651,Panapakkam,Panchayat,Vellore,...,"10,151","11,536"
652,Pandamangalam,Panchayat,Namakkal,...,"5,952","7,259"
653,Pandavarmangalam,Census Town,Thoothukkudi,...,"10,407","14,954"
654,Pannaikadu,Panchayat,Dindigul,...,"9,473","8,731"
655,Pannaipuram,Panchayat,Theni,...,"8,347","9,323"
656,Panpoli,Panchayat,Tirunelveli,...,"8,553","9,313"
657,Panruti,Municipality,Cuddalore,"51,394","55,346","60,323"
658,Papanasam,Panchayat,Thanjavur,"14,997","16,404","17,548"
659,Pappankurichi,Census Town,Tiruchirappalli,...,"20,371","24,023"
660,Papparapatti,Panchayat,Dharmapuri,...,"11,276","12,174"
661,Papparapatti,Census Town,Salem,...,"9,021","9,592"
662,Pappireddipatti,Panchayat,Dharmapuri,...,"8,583","9,369"
663,Paramakudi,Municipality,Ramanathapuram,"72,321","84,321","95,579"
664,Paramathi,Panchayat,Namakkal,...,"11,124","11,986"
665,Parangipettai,Panchayat,Cuddalore,"23,550","20,912","25,541"
666,Paraniputhur,Census Town,Kanchipuram,...,...,"15,225"
667,Paravai,Panchayat,Madurai,"12,732","16,248","20,042"
668,Pasur,Panchayat,Erode,...,"3,870","3,670"
669,Pathamadai (Pattamadai),Panchayat,Tirunelveli,...,"14,957","16,625"
670,Pattanam,Census Town,Coimbatore,...,"6,477","9,196"
671,Pattinam,Panchayat,Namakkal,...,"8,213","8,912"
672,Pattinamkattan,Census Town,Ramanathapuram,...,"14,244","17,601"
673,Pattiveeranpatti,Panchayat,Dindigul,...,"7,772","8,602"
674,Pattukkottai,Municipality,Thanjavur,"58,062","65,533","73,135"
675,Pavali,Census Town,Virudhunagar,...,...,"7,622"
676,Peddikuppam,Census Town,Thiruvallur,...,"5,797","8,044"
677,Peerkankaranai,Panchayat,Kanchipuram,"10,739","17,511","29,250"
678,Pennadam,Panchayat,Cuddalore,...,"18,166","19,494"
679,Pennagaram,Panchayat,Dharmapuri,...,"15,306","17,480"
680,Pennathur,Panchayat,Vellore,...,"8,151","9,425"
681,Peraiyur,Panchayat,Madurai,"7,830","9,614","10,394"
682,Peralam,Panchayat,Thiruvarur,...,"5,842","6,149"
683,Perambakkam,Census Town,Thiruvallur,...,"5,398","6,462"
684,Perambalur,Municipality,Perambalur,"26,451","37,631","49,648"
685,Peranamallur,Panchayat,Tiruvannamalai,...,"5,557","5,801"
686,Peravurani,Panchayat,Thanjavur,...,"21,045","22,084"
687,Periagaram,Census Town,Vellore,...,"4,539","4,916"
688,Periakottai,Census Town,Tiruppur,...,...,"17,356"
689,Periapattinam (Periyapattinam),Census Town,Ramanathapuram,...,"9,478","9,730"
690,Periyakodiveri,Panchayat,Erode,...,"12,405","12,330"
691,Periyakulam,Municipality,Theni,"46,744","42,012","42,976"
692,Periyakurichi,Census Town,Cuddalore,...,"6,306","7,599"
693,Periyamanali,Census Town,Namakkal,...,...,"6,878"
694,Periyanaicken-palayam,Panchayat,Coimbatore,"18,043","22,844","25,930"
695,Periya Negamam,Panchayat,Coimbatore,...,"7,683","7,098"
696,Periyapatti,Census Town,Namakkal,...,"5,772","15,690"
697,Periyasemur,Municipality,Erode,...,"32,024","55,282"
698,Pernampattu,Municipality,Vellore,"36,195","41,499","51,271"
699,Perumagalur,Panchayat,Thanjavur,...,"5,405","5,604"
700,Perumagoundampatti,Census Town,Salem,...,...,"7,796"
701,Perumanallur,Census Town,Tiruppur,...,"4,994","7,356"
702,Perumandi,Census Town,Thanjavur,...,"7,001","8,620"
703,Perundurai,Panchayat,Erode,...,"16,943","24,930"
704,Perungalathur,Panchayat,Kanchipuram,...,"19,594","37,342"
705,Perungudi,Panchayat,Kanchipuram,"9,709","23,581","43,111"
706,Perungulam,Panchayat,Thoothukkudi,...,"6,452","7,203"
707,Perur,Panchayat,Coimbatore,"6,823","7,965","8,004"
708,Perur Chettipalayam,Census Town,Coimbatore,...,"12,932","17,809"
709,Peruvilai,Census Town,Kanniyakumari,...,...,"6,090"
710,Pethampalayam,Panchayat,Erode,...,"7,120","7,152"
711,Pethanaickenpalayam,Panchayat,Salem,...,"16,396","17,678"
712,Pichandarkovil,Census Town,Tiruchirappalli,...,"10,164","17,257"
713,Pillanallur,Panchayat,Namakkal,"8,405","9,161","11,181"
714,P. J. Cholapuram,Panchayat,Karur,...,"6,552","7,484"
715,P. Mettupalayam,Panchayat,Erode,...,"9,115","9,109"
716,P. N. Patti,Panchayat,Salem,...,"23,331","25,133"
717,Polichalur,Census Town,Kanchipuram,"9,816","14,760","21,906"
718,Pollachi,Municipality,Coimbatore,"86,897","88,302","90,180"
719,Polur,Panchayat,Tiruvannamalai,"23,046","25,505","28,123"
720,Ponmanai,Panchayat,Kanniyakumari,...,"13,480","15,554"
721,Ponnamaravathi,Panchayat,Pudukkottai,...,"11,776","12,676"
722,Ponnampatti,Panchayat,Tiruchirappalli,...,"10,660","12,167"
723,Ponneri,Panchayat,Thiruvallur,"22,375","24,309","31,025"
724,Poolambadi,Panchayat,Perambalur,...,"10,027","10,737"
725,Poolampatti,Panchayat,Salem,...,"8,999","9,477"
726,Poolankinar,Census Town,Tiruppur,...,"4,779","4,849"
727,Pooluvapatti,Panchayat,Coimbatore,...,"11,964","12,853"
728,Poonamallee,Municipality,Thiruvallur,"28,827","42,604","60,607"
729,Poravacheri,Census Town,Nagapattinam,...,"4,115","4,422"
730,Porur,Panchayat,Thiruvallur,"19,507","28,924","46,690"
731,Pothanur,Panchayat,Namakkal,...,"13,728","18,455"
732,Pothatturpettai,Panchayat,Thiruvallur,...,"18,715","22,040"
733,Pudiyamputhur,Census Town,Thoothukkudi,...,...,"8,012"
734,Pudukkottai,Census Town,Pudukkottai,"11,091","17,607","26,116"
735,Pudukkottai,Municipality,Pudukkottai,"99,058","109,217","117,630"
