,Name,Status,District,Population_1991,Population_2001,Population_2011
736,Pudupalayam,Panchayat,Tiruvannamalai,...,"10,005","11,382"
737,Pudupalayam Agraharam,Census Town,Namakkal,...,"5,419","5,704"
738,Pudupatti,Panchayat,Theni,...,"10,015","11,511"
739,Pudupattinam,Census Town,Kanchipuram,"15,044","20,901","21,151"
740,Pudupattinam,Census Town,Thanjavur,...,"7,261","10,210"
741,Pudur (S),Panchayat,Tirunelveli,...,"11,110","12,457"
742,Puduvayal,Panchayat,Sivaganga,"7,381","9,255","11,284"
743,Puliankudi (Puliyankudi),Municipality,Tirunelveli,"53,287","60,080","66,034"
744,Puliyoorsalai,Census Town,Kanniyakumari,...,...,"6,361"
745,Puliyur,Panchayat,Karur,...,"11,491","12,720"
746,Pullampadi (Pullambadi),Panchayat,Tiruchirappalli,...,"11,215","10,241"
747,Punjaipugalur,Panchayat,Karur,"16,191","20,309","23,408"
748,Punjaipuliampatti,Municipality,Erode,"15,075","14,832","18,967"
749,Punjai Thottakurichi,Panchayat,Karur,...,"9,649","10,969"
750,Puthagaram,Census Town,Thiruvallur,...,"6,451","10,263"
751,Puthalam,Panchayat,Kanniyakumari,...,"11,835","13,073"
752,Putheri,Census Town,Kanniyakumari,...,...,"5,576"
753,Puthukkadai,Panchayat,Kanniyakumari,...,"9,037","9,909"
754,Puthur Agraharam,Census Town,Salem,...,...,"11,173"
755,Puvalur (Poovalur),Panchayat,Tiruchirappalli,"8,109","8,906","7,905"
756,Puzhal,Panchayat,Thiruvallur,"15,868","20,639","31,665"
757,Puzhithivakkam (Ullagaram),Municipality,Kanchipuram,"16,133","30,422","53,322"
758,Rajapalayam,Municipality,Virudhunagar,"114,202","122,307","130,442"
759,Rajapalayam,Census Town,Salem,...,...,"5,807"
760,Ramalingapuram,Census Town,Virudhunagar,...,"3,912","4,505"
761,Ramanathapuram,Municipality,Ramanathapuram,"52,879","62,050","61,440"
762,Ramapuram,Census Town,Thiruvallur,...,"27,895","52,295"
763,Rameswaram,Municipality,Ramanathapuram,"32,721","37,968","44,856"
764,Ranipettai (Ranipet),Municipality,Vellore,"42,583","47,243","50,764"
765,Rasipuram,Municipality,Namakkal,"39,386","46,330","50,244"
766,Rayagiri,Panchayat,Tirunelveli,...,"10,855","11,223"
767,Reethapuram,Panchayat,Kanniyakumari,...,"11,887","21,177"
768,Rosalpatti,Census Town,Virudhunagar,"15,957","19,701","22,524"
769,R. Pudupatti,Panchayat,Namakkal,...,"11,915","7,478"
770,R. S. Mangalam,Panchayat,Ramanathapuram,...,"11,043","14,565"
771,Rudravathi,Panchayat,Tiruppur,...,"6,107","6,807"
772,Sakkarakottai,Census Town,Ramanathapuram,...,...,"15,355"
773,Sakkimangalam,Census Town,Madurai,...,"6,368","10,854"
774,Salamedu,Census Town,Viluppuram,...,...,"20,854"
775,Salangapalayam,Panchayat,Erode,...,"14,702","15,609"
776,Salem,Municipality,Salem,"366,712","696,760","829,267"
777,Samalapuram,Panchayat,Tiruppur,...,"14,705","20,691"
778,Samanatham,Census Town,Madurai,...,...,"4,477"
779,Samathur,Panchayat,Coimbatore,...,"5,812","5,762"
780,Samayanallur,Census Town,Madurai,...,"8,622","9,227"
781,Sambavar Vadagarai,Panchayat,Tirunelveli,...,"14,647","16,709"
782,Samusigapuram,Census Town,Virudhunagar,...,"11,651","14,601"
783,Sankaramanallur,Panchayat,Tiruppur,...,"9,543","10,283"
784,Sankarankoil (Sankarankovil),Municipality,Tirunelveli,"48,846","53,606","57,277"
785,Sankaraperi,Census Town,Thoothukkudi,...,"11,551","19,844"
786,Sankarapuram,Panchayat,Viluppuram,"5,456","12,263","15,664"
787,Sankarapuram,Census Town,Sivaganga,...,...,"26,536"
788,Sankari (Sankagiri),Panchayat,Salem,...,"27,454","29,467"
789,Sankarnagar,Panchayat,Tirunelveli,"4,533","5,203","7,095"
790,Sanniyasigundu,Census Town,Salem,...,...,"7,823"
791,Saravanampatti,Panchayat,Coimbatore,"10,753","17,737","32,920"
792,Sarcarsamakulam,Panchayat,Coimbatore,...,"7,982","10,289"
793,Sathankulam,Panchayat,Thoothukkudi,...,"14,206","14,193"
794,Sathiyavijayanagaram,Census Town,Tiruvannamalai,...,"5,681","5,894"
795,Sathkar,Census Town,Vellore,...,...,"8,632"
796,Sathuvachari (Sathuvacheri),Municipality,Vellore,...,"44,942","56,951"
797,Sathyamangalam,Municipality,Erode,"32,417","33,722","37,816"
798,Sattur,Municipality,Virudhunagar,"29,226","31,443","29,398"
799,Sayalgudi,Panchayat,Ramanathapuram,...,"12,052","14,801"
800,Sayapuram,Panchayat,Thoothukkudi,...,"12,771","12,792"
801,Seerapalli,Panchayat,Namakkal,...,"11,753","12,403"
802,Seithur,Panchayat,Virudhunagar,...,"18,012","20,228"
803,Selathampatti,Census Town,Salem,...,"4,721","6,659"
804,Sembakkam,Panchayat,Kanchipuram,"13,516","21,492","45,356"
805,Sembedu,Census Town,Vellore,...,"11,305","12,548"
806,Sembianallur,Census Town,Tiruppur,...,"4,514","7,586"
807,Semmipalayam,Census Town,Tiruppur,...,"6,184","8,429"
808,Senapiratti,Census Town,Karur,...,"15,083","22,447"
809,Sengamalanachiarpatti,Census Town,Virudhunagar,...,...,"13,811"
810,Senneerkuppam,Census Town,Thiruvallur,...,...,"16,237"
811,Senthamangalam,Panchayat,Namakkal,...,"18,116","19,750"
812,Sentharapatti,Panchayat,Salem,...,"13,896","14,308"
813,Senur,Census Town,Vellore,...,"7,569","9,078"
814,Sethiathoppu,Panchayat,Cuddalore,...,"7,963","8,824"
815,Sevilimedu,Panchayat,Kanchipuram,"13,433","16,125","23,454"
816,Sevugampatti,Panchayat,Dindigul,...,"9,902","11,730"
817,Sevur,Census Town,Vellore,"5,206","8,663","11,356"
818,Sevur,Census Town,Tiruvannamalai,...,"9,298","10,299"
819,Shenbakkam,Panchayat,Vellore,...,"13,390","17,109"
820,Shenkottai (Sengottai),Municipality,Tirunelveli,"25,820","26,838","26,823"
821,Sholavandan,Panchayat,Madurai,...,"21,638","22,578"
822,Sholinganallur,Panchayat,Kanchipuram,...,"15,557","35,602"
823,Sholingur (Sholinghur),Panchayat,Vellore,"21,412","26,652","30,856"
824,Sholur,Panchayat,The Nilgiris,...,"11,152","9,745"
825,Sikkarayapuram,Census Town,Kanchipuram,...,"6,051","10,187"
826,Silaiman,Census Town,Madurai,...,"5,250","6,436"
827,Silapadi,Census Town,Dindigul,...,"17,938","17,824"
828,Singampuneri (Singampunari),Panchayat,Sivaganga,...,"16,858","18,143"
829,Singaperumalkoil,Census Town,Kanchipuram,...,"8,083","13,566"
830,Sircar Periapalayam,Census Town,Tiruppur,...,...,"5,986"
831,Sirkali (Sirkazhi),Municipality,Nagapattinam,"28,980","32,228","34,927"
832,Sirugamani,Panchayat,Tiruchirappalli,...,"9,994","10,743"
833,Sirukalathur,Census Town,Kanchipuram,...,...,"6,117"
834,Sirukaveripakkam,Census Town,Kanchipuram,...,...,"8,032"
835,Sirumugai,Panchayat,Coimbatore,...,"19,383","18,223"
836,Sithayankottai,Panchayat,Dindigul,...,"12,099","13,634"
837,Sithurajapuram,Census Town,Virudhunagar,"9,358","13,273","16,860"
838,Sivaganga,Municipality,Sivaganga,"33,190","40,220","40,403"
839,Sivagiri,Panchayat,Erode,...,"16,255","17,979"
840,Sivagiri,Panchayat,Tirunelveli,...,"20,380","23,040"
841,Sivagiripatti,Census Town,Dindigul,...,...,"17,306"
842,Sivagnanapuram,Census Town,Virudhunagar,...,...,"10,107"
843,Sivakasi,Municipality,Virudhunagar,"65,593","72,168","71,040"
844,Sivanthipuram,Census Town,Tirunelveli,"11,912","13,819","14,281"
845,Somayampalayam,Census Town,Coimbatore,...,"8,963","14,787"
846,Soolakkarai,Census Town,Virudhunagar,...,"4,304","4,990"
847,Soorapattu,Census Town,Thiruvallur,...,...,"10,444"
848,South Kannanur,Panchayat,Tiruchirappalli,...,"11,782","13,073"
849,South Kodikulam,Panchayat,Virudhunagar,...,"11,988","12,713"
850,South Nallur,Municipality,Tiruppur,...,"29,495","70,115"
851,Srikalikapuram,Census Town,Thiruvallur,...,...,"5,044"
852,Srimushnam,Panchayat,Cuddalore,...,"11,992","13,971"
853,Sriperumbudur,Panchayat,Kanchipuram,"13,091","16,156","24,864"
854,Sriramapuram,Panchayat,Dindigul,...,"8,933","10,653"
855,Srivaikuntam,Panchayat,Thoothukkudi,"17,459","16,221","15,847"
856,Srivilliputhur,Municipality,Virudhunagar,"68,644","73,183","75,396"
857,St. Thomas Mount-cum-Pallavaram,Cantonment (Board),Kanchipuram,"39,744","42,153","43,795"
858,Suchindrum (Suchindram),Panchayat,Kanniyakumari,...,"12,052","13,193"
859,Suleeswaranpatti,Panchayat,Coimbatore,"14,164","18,211","20,104"
860,Sulur,Panchayat,Coimbatore,"19,715","24,152","27,909"
861,Sumaitheerthapuram,Census Town,Tirunelveli,...,...,"6,879"
862,Sundarapandiam,Panchayat,Virudhunagar,...,"8,549","8,513"
863,Sundarapandianpattinam,Census Town,Ramanathapuram,...,...,"4,007"
864,Sundarapandiapuram,Panchayat,Tirunelveli,...,"7,711","8,987"
865,SuPallipattu,Census Town,Vellore,...,...,"4,998"
866,Surampatti,Municipality,Erode,"24,209","31,948","41,782"
867,Surandai,Panchayat,Tirunelveli,...,"28,146","35,272"
868,Suriyampalayam,Panchayat,Erode,...,"21,923","28,585"
869,Swamimalai,Panchayat,Thanjavur,...,"6,982","7,289"
870,Tajpura,Census Town,Vellore,...,"5,810","8,075"
871,Tambaram,Municipality,Kanchipuram,"107,187","137,933","174,787"
872,Tenkasi,Municipality,Tirunelveli,"55,189","63,432","70,545"
873,Terkukallikulam,Census Town,Tirunelveli,...,"5,323","5,980"
874,Thadikarankonam,Census Town,Kanniyakumari,...,...,"6,241"
875,Thadikombu,Panchayat,Dindigul,...,"16,081","18,838"
876,Thakkolam,Panchayat,Vellore,...,"9,908","13,983"
877,Thalainayar,Panchayat,Nagapattinam,...,"11,635","12,798"
878,Thalakudi,Census Town,Tiruchirappalli,...,...,"5,740"
879,Thamaraikulam,Panchayat,Theni,...,"10,391","12,372"
880,Thammampatti,Panchayat,Salem,...,"20,751","21,503"
881,Thanakkankulam,Census Town,Madurai,...,"9,748","14,328"
882,Thanjavur,Municipality,Thanjavur,"202,013","215,314","222,943"
883,Thanthoni,Municipality,Karur,...,"31,592","53,854"
884,Thappakuttai,Census Town,Salem,...,...,"6,986"
885,Tharamangalam,Panchayat,Salem,"17,795","22,144","30,222"
886,Tharangambadi,Panchayat,Nagapattinam,"18,881","20,843","23,191"
887,Thathaiyangarpet,Panchayat,Tiruchirappalli,...,"12,286","12,980"
888,Thathankuttai,Census Town,Namakkal,...,...,"24,708"
889,Thazhakudy,Panchayat,Kanniyakumari,...,"8,568","8,992"
890,Thedavur,Panchayat,Salem,...,"7,461","8,230"
891,Theerthagiriyampattu,Census Town,Thiruvallur,...,"3,328","5,412"
892,Thenambakkam,Census Town,Kanchipuram,...,"9,357","13,994"
893,Thengampudur,Panchayat,Kanniyakumari,...,"12,675","14,538"
894,Theni Allinagaram,Municipality,Theni,"66,050","85,498","94,453"
895,Thenkarai,Panchayat,Coimbatore,...,"7,247","7,349"
896,Thenkarai,Panchayat,Theni,...,"11,597","14,838"
897,Thenthamaraikulam,Panchayat,Kanniyakumari,...,"11,106","11,872"
898,Thenthiruperai,Panchayat,Thoothukkudi,...,"5,096","4,934"
899,Therur (Theroor),Panchayat,Kanniyakumari,...,"6,937","7,615"
900,Thevaram,Panchayat,Theni,...,"14,637","16,079"
901,Thevur,Panchayat,Salem,...,"8,115","8,548"
902,Thiagadurgam,Panchayat,Viluppuram,...,"13,633","18,605"
903,Thikkanamcode,Census Town,Kanniyakumari,...,...,"14,086"
904,Thindal,Census Town,Erode,...,...,"15,440"
905,Thingalnagar,Panchayat,Kanniyakumari,...,"12,562","13,567"
906,Thirparappu (Thiruparappu),Panchayat,Kanniyakumari,...,"21,736","22,401"
907,Thirukarungudi,Panchayat,Tirunelveli,...,"8,875","9,342"
908,Thirukkattupalli,Panchayat,Thanjavur,...,"12,567","12,972"
909,Thirumalayampalayam,Panchayat,Coimbatore,...,"11,136","12,164"
910,Thirumalpur,Census Town,Vellore,...,"4,799","4,803"
911,Thirumangalam (Tirumangalam),Municipality,Madurai,"34,601","43,631","51,194"
912,Thirumazhisai,Panchayat,Thiruvallur,...,"16,291","19,733"
913,Thirumuruganpoondi,Panchayat,Tiruppur,...,"18,557","31,528"
914,Thirunagar,Panchayat,Madurai,...,"15,547","16,598"
915,Thirunageswaram,Panchayat,Thanjavur,...,"13,797","15,082"
916,Thiruneermalai,Panchayat,Kanchipuram,...,"19,228","30,702"
917,Thirunindravur (Thiruninravur),Panchayat,Thiruvallur,...,"29,332","37,095"
918,Thiruparankundram,Municipality,Madurai,"30,078","39,048","50,004"
919,Thiruporur,Panchayat,Kanchipuram,...,"8,299","13,666"
920,Thiruppalai,Census Town,Madurai,...,...,"19,305"
921,Thiruppanandal,Panchayat,Thanjavur,...,"10,376","11,169"
922,Thirupuvanam (Thirubuvanam),Panchayat,Thanjavur,...,"14,135","14,989"
923,Thirupuvanam,Panchayat,Sivaganga,...,"21,589","24,554"
924,Thiruthangal,Municipality,Virudhunagar,"36,582","49,190","55,362"
925,Thiruthuraipoondi,Municipality,Thiruvarur,"23,328","22,905","24,404"
926,Thiruvaiyaru,Panchayat,Thanjavur,"14,495","14,511","16,164"
927,Thiruvalam,Panchayat,Vellore,...,"7,936","9,153"
928,Thiruvallur (Tiruvallur),Municipality,Thiruvallur,"38,564","45,732","56,074"
929,Thiruvarur,Municipality,Thiruvarur,"49,195","56,341","58,301"
930,Thiruvattar,Panchayat,Kanniyakumari,...,"18,272","18,985"
931,Thiruvenkadam,Panchayat,Tirunelveli,...,"7,353","8,337"
932,Thiruvennainallur,Panchayat,Viluppuram,...,"8,582","9,623"
933,Thiruverumbur,Panchayat,Tiruchirappalli,...,"16,824","23,156"
934,Thiruvidaimarudur,Panchayat,Thanjavur,...,"13,765","14,786"
935,Thiruvithancode (Thiruvithamcode),Panchayat,Kanniyakumari,...,"16,397","18,723"
936,Thisayanvilai,Panchayat,Tirunelveli,...,"19,559","23,702"
937,Thondamuthur,Panchayat,Coimbatore,...,"9,340","11,492"
938,Thondi,Panchayat,Ramanathapuram,...,"15,304","18,465"
939,Thoothukkudi (Thoothukudi),Municipality,Thoothukkudi,"199,854","216,054","237,830"
940,Thorapadi,Panchayat,Vellore,...,"13,924","16,700"
941,Thorapadi,Panchayat,Cuddalore,...,"5,523","7,659"
942,Thottipalayam,Census Town,Tiruppur,...,"26,818","40,503"
943,Thottiyam,Panchayat,Tiruchirappalli,...,"13,683","14,909"
944,Thozhur,Census Town,Thiruvallur,...,"4,893","5,698"
945,Thudiyalur,Panchayat,Coimbatore,...,"21,004","33,924"
946,Thuraiyur,Municipality,Tiruchirappalli,"27,640","31,005","32,439"
947,Thuthipattu,Census Town,Vellore,...,"6,984","9,143"
948,Thuvakudi,Municipality,Tiruchirappalli,...,"35,428","38,887"
949,Timiri,Panchayat,Vellore,...,"14,953","16,246"
950,Tindivanam,Municipality,Viluppuram,"61,579","67,737","72,796"
951,Tiruchendur (Thiruchendur),Panchayat,Thoothukkudi,"27,420","29,581","32,171"
952,Tiruchengode,Municipality,Namakkal,"63,027","80,187","95,335"
953,Tiruchirappalli,Municipality,Tiruchirappalli,"387,223","752,066","847,387"
954,Tirukalukundram,Panchayat,Kanchipuram,"23,333","23,715","29,391"
955,Tirukkoyilur (Tirukoilur),Panchayat,Viluppuram,"23,636","27,197","30,212"
956,Tirumalaigiri,Census Town,Salem,...,...,"4,107"
957,Tirunelveli,Municipality,Tirunelveli,"135,825","411,831","473,637"
958,Tirupathur (Tiruppattur),Municipality,Vellore,"55,282","60,876","64,125"
959,Tirupathur,Panchayat,Sivaganga,"23,564","23,559","25,980"
960,Tirupattur,Census Town,Vellore,...,"13,377","19,487"
961,Tiruppur,Municipality,Tiruppur,"235,661","344,543","444,352"
962,Tirusulam,Census Town,Kanchipuram,"5,572","5,973","14,086"
963,Tiruttani (Thiruttani),Municipality,Thiruvallur,"34,363","38,314","44,781"
964,Tiruvannamalai,Municipality,Tiruvannamalai,"109,196","130,567","145,278"
965,Tiruverkadu,Municipality,Thiruvallur,"22,313","32,221","64,698"
966,Tiruvethipuram (Cheyyar),Municipality,Tiruvannamalai,"31,210","35,201","37,802"
967,Tiruvottiyur,Municipality,Thiruvallur,"168,642","212,281","249,446"
968,Tittacheri,Panchayat,Nagapattinam,...,"8,490","9,245"
969,Tittakudi,Panchayat,Cuddalore,...,"20,735","22,894"
970,Tittangulam,Census Town,Thoothukkudi,...,"5,677","9,115"
971,T.Kallupatti,Panchayat,Madurai,...,"9,416","10,762"
972,TNPL Pugalur,Panchayat,Karur,...,"5,865","5,556"
973,Udangudi,Panchayat,Thoothukkudi,"19,915","19,390","19,738"
974,Udayarpalayam,Panchayat,Ariyalur,...,"11,320","12,688"
975,Udhagamandalam (Ooty),Municipality,The Nilgiris,"81,763","93,987","88,430"
976,Udumalaipettai,Municipality,Tiruppur,"58,678","59,668","61,133"
977,Ullur,Census Town,Thanjavur,...,"7,781","11,673"
978,Ulundurpettai,Panchayat,Viluppuram,...,"19,258","23,734"
979,Unjalur,Panchayat,Erode,...,"2,628","2,482"
980,Unnamalaikadai,Panchayat,Kanniyakumari,...,"20,666","23,656"
981,Uppidamangalam,Panchayat,Karur,...,"10,151","11,292"
982,Uppiliapuram,Panchayat,Tiruchirappalli,...,"6,699","7,705"
983,Urapakkam,Census Town,Kanchipuram,...,"13,445","29,122"
984,Usilampatti,Municipality,Madurai,"26,413","30,601","35,219"
985,Usuppur,Census Town,Cuddalore,...,"8,043","8,221"
986,Uthamapalayam,Panchayat,Theni,"22,703","22,104","29,050"
987,Uthangarai,Panchayat,Krishnagiri,...,"15,443","18,470"
988,Uthayendram,Panchayat,Vellore,...,"11,567","13,837"
989,Uthiramerur,Panchayat,Kanchipuram,"21,568","23,656","25,194"
990,Uthukkottai (Uthukottai),Panchayat,Thiruvallur,...,"10,626","12,740"
991,Uthukuli,Panchayat,Tiruppur,...,"8,294","10,130"
992,Vadakarai Keezhpadugai,Panchayat,Tirunelveli,...,"17,349","20,821"
993,Vadakkanandal,Panchayat,Viluppuram,...,"19,846","23,034"
994,Vadakkuvalliyur,Panchayat,Tirunelveli,...,"24,023","29,417"
995,Vadalur,Panchayat,Cuddalore,...,"26,016","39,514"
996,Vadamadurai,Panchayat,Dindigul,...,"15,549","18,015"
997,Vadavalli,Panchayat,Coimbatore,...,"24,779","39,873"
998,Vaddakkankulam,Census Town,Tirunelveli,...,...,"9,220"
999,Vadi,Census Town,Virudhunagar,...,"4,745","4,937"
1000,Vadipatti,Panchayat,Madurai,...,"21,833","26,830"
1001,Vadugapatti,Panchayat,Erode,...,"10,921","9,657"
1002,Vadugapatti,Panchayat,Theni,...,"12,377","13,204"
1003,Vaitheeswarankoil,Panchayat,Nagapattinam,"6,490","7,511","7,676"
1004,Valangaiman,Panchayat,Thiruvarur,...,"11,281","11,754"
1005,Valasaravakkam,Municipality,Thiruvallur,"21,953","30,978","47,378"
1006,Valathur,Census Town,Vellore,...,"5,102","5,529"
1007,Valavandankottai,Census Town,Tiruchirappalli,...,"6,969","9,202"
1008,Valavanur,Panchayat,Viluppuram,...,"14,083","16,745"
1009,Valayambattu,Census Town,Vellore,...,"7,213","10,076"
1010,Vallam,Panchayat,Thanjavur,...,"14,816","16,758"
1011,Vallam,Census Town,Kanchipuram,...,"6,412","7,745"
1012,Valparai,Municipality,Coimbatore,"106,523","95,107","70,859"
1013,Valvaithankoshtam,Panchayat,Kanniyakumari,...,"16,686","16,965"
1014,Vanagaram,Census Town,Thiruvallur,...,...,"19,208"
1015,Vanapadi,Census Town,Vellore,...,"4,777","5,334"
1016,Vanavasi,Panchayat,Salem,...,"6,780","7,130"
1017,Vandalur,Census Town,Kanchipuram,...,"13,375","16,852"
1018,Vandavasi,Municipality,Tiruvannamalai,"24,578","29,610","31,320"
1019,Vandiyur,Census Town,Madurai,...,"21,977","28,646"
1020,Vanganur,Census Town,Thiruvallur,...,"5,760","6,584"
1021,Vaniputhur,Panchayat,Erode,...,"12,207","12,044"
1022,Vaniyambadi,Municipality,Vellore,"72,426","85,752","95,061"
1023,Vanniyoor,Census Town,Kanniyakumari,...,...,"4,319"
1024,Varadarajanpettai,Panchayat,Ariyalur,...,"8,575","8,259"
1025,Vasudevanallur,Panchayat,Tirunelveli,...,"19,062","21,361"
1026,Vathirairuppu,Panchayat,Virudhunagar,...,"16,007","16,784"
1027,Vavarai,Census Town,Kanniyakumari,...,...,"8,362"
1028,Vazhapadi,Panchayat,Salem,...,"16,104","17,559"
1029,Vedapatti,Panchayat,Coimbatore,...,"9,732","11,658"
1030,Vedaranyam,Municipality,Nagapattinam,"29,832","31,627","34,266"
1031,Vedasandur,Panchayat,Dindigul,"7,541","10,813","11,730"
1032,Veeraganur,Panchayat,Salem,...,"10,547","11,624"
1033,Veerakeralam,Panchayat,Coimbatore,"10,572","19,994","23,841"
1034,Veerakkalpudur,Panchayat,Salem,...,"16,424","16,665"
1035,Veerapandi,Census Town,Tiruppur,"8,515","21,848","50,301"
1036,Veerapandi,Panchayat,Coimbatore,"8,515","12,794","16,953"
1037,Veerapandi,Panchayat,Theni,"9,325","14,294","16,158"
1038,Veerapandianpattinam Town,Census Town,Thoothukkudi,...,...,"6,015"
1039,Veerappanchatiram (Veerappanchatram),Municipality,Erode,"61,649","72,703","84,453"
1040,Veeravanallur,Panchayat,Tirunelveli,...,"19,785","19,585"
1041,Velampalayam,Municipality,Tiruppur,"26,248","45,679","87,427"
1042,Velankanni,Panchayat,Nagapattinam,...,"10,151","11,108"
1043,Velayudampalayam,Census Town,Tiruppur,...,"6,064","9,192"
1044,Vellakinar,Panchayat,Coimbatore,...,"9,772","15,998"
1045,Vellakkalpatty,Census Town,Salem,...,"5,475","5,475"
1046,Vellakoil,Municipality,Tiruppur,...,"34,438","40,359"
1047,Vellalur (Vellalore),Panchayat,Coimbatore,...,"17,340","24,872"
1048,Vellamcode,Census Town,Kanniyakumari,...,...,"12,715"
1049,Vellaravalli,Census Town,Tiruppur,...,...,"5,070"
1050,Vellimalai,Panchayat,Kanniyakumari,...,"11,760","13,182"
1051,Vellore,Municipality,Vellore,"175,061","177,230","185,803"
1052,Vellottamparappu,Panchayat,Erode,...,"8,131","7,621"
1053,Velur,Panchayat,Namakkal,...,"18,413","25,012"
1054,Vembadithalam,Census Town,Salem,...,"6,022","7,331"
1055,Vengampudur,Panchayat,Erode,...,"7,632","7,443"
1056,Vengathur,Census Town,Thiruvallur,"10,799","17,076","23,292"
1057,Vengavasal,Census Town,Kanchipuram,...,"8,892","13,671"
1058,Vengikkal,Census Town,Tiruvannamalai,...,...,"18,244"
1059,Venkarai,Panchayat,Namakkal,...,"8,928","9,330"
1060,Venkatachalapuram,Census Town,Virudhunagar,...,...,"9,540"
1061,Venkatapuram,Census Town,Krishnagiri,...,...,"7,430"
1062,Vennanthur,Panchayat,Namakkal,...,"13,482","14,568"
1063,Veppathur,Panchayat,Thanjavur,...,"7,417","7,949"
1064,Verkilambi,Panchayat,Kanniyakumari,...,"18,003","19,730"
1065,Vettaikaranpudur,Panchayat,Coimbatore,...,"18,360","17,392"
1066,Vettavalam,Panchayat,Tiruvannamalai,...,"13,402","15,506"
1067,Vijayapuri,Census Town,Erode,...,"6,517","7,222"
1068,Vikramasingapuram,Municipality,Tirunelveli,"49,834","48,309","47,241"
1069,Vikravandi,Panchayat,Viluppuram,...,"10,145","12,022"
1070,Vilacheri,Census Town,Madurai,...,...,"7,787"
1071,Vilangudi,Panchayat,Madurai,"14,040","21,167","30,884"
1072,Vilankurichi,Census Town,Coimbatore,"5,130","9,124","24,235"
1073,Vilapakkam,Panchayat,Vellore,...,"8,052","8,174"
1074,Vilar,Census Town,Thanjavur,...,"5,628","9,028"
1075,Vilathikulam,Panchayat,Thoothukkudi,...,"13,542","15,277"
1076,Vilathurai,Census Town,Kanniyakumari,...,...,"19,758"
1077,Vilavancode,Census Town,Kanniyakumari,...,...,"6,731"
1078,Vilavur,Panchayat,Kanniyakumari,...,"13,672","14,320"
1079,Villukuri,Panchayat,Kanniyakumari,...,"13,696","15,304"
1080,Viluppuram,Municipality,Viluppuram,"88,788","95,455","96,253"
1081,Viraganur,Census Town,Madurai,...,"5,284","7,121"
1082,Viralimalai,Census Town,Pudukkottai,...,"7,184","10,883"
1083,Virinchipuram,Census Town,Vellore,...,"6,245","7,699"
1084,Virudampattu,Census Town,Vellore,...,"5,352","7,662"
1085,Virudhachalam,Municipality,Cuddalore,"52,819","60,164","73,585"
1086,Virudhunagar,Municipality,Virudhunagar,"70,971","72,081","72,296"
1087,Virupakshipuram,Census Town,Vellore,...,"12,885","14,779"
1088,Viswanatham,Census Town,Virudhunagar,"14,899","22,154","25,555"
1089,V.Pudupatti,Panchayat,Virudhunagar,...,"7,855","8,316"
1090,V. Pudur,Panchayat,Thoothukkudi,...,"8,091","8,891"
1091,Walajabad,Panchayat,Kanchipuram,"11,532","10,853","14,684"
1092,Walajapet,Municipality,Vellore,"26,972","29,475","47,498"
1093,Wellington,Cantonment (Board),The Nilgiris,"19,764","20,217","19,462"
1094,Yercaud,Census Town,Salem,...,"8,750","11,582"
1095,Zamin Uthukuli,Panchayat,Coimbatore,...,"14,859","16,354"
1096,Zuzuvadi,Census Town,Krishnagiri,...,...,"32,474"
